Replicate,Sub-Replicate,P,K,N,C
T1,1,6098.2,12506.0,4312.0,35.8
T1,2,5037.2,12338.7,4787.3,34.0
T1,3,6471.3,14923.8,5286.8,34.9
T2,1,6433.3,17184.2,3066.6,29.8
T2,2,5679.7,13274.3,3433.1,36.1
T2,3,5546.5,13008.6,2551.8,32.3
T3,1,5846.5,14975.0,6948.8,31.1
T3,2,5231.0,14543.1,6590.2,35.8
T3,3,5907.3,15048.1,7119.5,33.6
T4,1,6471.0,14601.4,5642.7,34.5
T4,2,6336.4,11303.5,5307.6,34.0
T4,3,5654.7,10825.7,4826.4,33.8
T5,1,5569.7,12416.3,1937.6,33.8
T5,2,5425.4,13546.4,1875.5,32.2
T5,3,6024.5,12474.9,1753.1,32.8
T6,1,6601.5,15334.9,5843.0,31.6
T6,2,5960.1,15524.6,5185.1,32.2
T6,3,6533.5,15159.5,5888.1,33.7
T7,1,5431.7,11812.7,1390.5,32.9
T7,2,7271.3,11111.7,1971.9,33.6
T7,3,5683.9,13450.0,1395.9,32.5
T8,1,5809.6,17643.2,7411.3,31.2
T8,2,4766.2,10043.8,7236.3,31.4
T8,3,5368.3,12748.0,7302.3,31.1
T9,1,7303.2,17365.8,3777.7,31.9
T9,2,6688.5,14836.7,3608.5,31.8
T9,3,6297.0,15445.7,2992.7,32.6
T10,1,5677.5,13317.0,6018.8,32.7
T10,2,5820.0,13220.7,5693.7,34.1
T10,3,6166.1,17331.1,6802.9,35.2
T11,1,5539.6,15023.0,4671.3,35.8
T11,2,6239.5,13668.3,4124.0,31.6
T11,3,6044.6,14550.5,4739.0,32.2
T12,1,6389.7,14143.3,8007.9,29.0
T12,2,5549.5,12880.0,8008.7,32.2
T12,3,5860.3,13065.2,8284.1,32.8
J1,1,6082.8,12938.1,4204.2,32.1
J1,2,6926.8,13057.2,3843.7,36.7
J1,3,6030.3,13522.5,3305.2,33.3
J2,1,6273.3,16422.0,5365.2,35.1
J2,2,6167.8,15165.6,6705.2,34.3
J2,3,6474.8,14256.6,6142.7,31.8
J3,1,6343.3,14648.6,5007.2,37.0
J3,2,5966.2,14012.4,6428.4,34.9
J3,3,6566.3,18559.4,6142.0,34.9
J4,1,5609.5,14455.1,4802.9,33.3
J4,2,6029.8,13244.7,4121.7,38.1
J4,3,6772.1,12584.1,3857.0,37.7
J5,1,4952.2,12243.9,4562.7,35.5
J5,2,5924.7,13696.0,5707.0,35.2
J5,3,6323.6,22051.1,4042.5,34.3
J6,1,6156.0,17247.3,4438.8,37.2
J6,2,5679.9,18897.9,4605.5,35.1
J6,3,6986.0,17658.5,4649.2,35.0
J7,1,7225.3,17167.1,8974.4,37.1
J7,2,6589.9,17621.0,9962.5,34.4
J7,3,5846.3,17123.8,9664.8,34.2
J8,1,6630.2,18643.7,6610.3,36.2
J8,2,6499.0,16996.4,6577.7,34.1
J8,3,6176.6,16787.7,7237.2,37.9
J9,1,7079.9,18079.9,2721.1,34.2
J9,2,7597.5,16333.1,3418.0,37.9
J9,3,6546.6,14954.0,3966.2,34.4
J10,1,6754.9,16243.0,3556.5,36.4
J10,2,8089.1,16931.8,4832.4,39.2
J10,3,6302.5,15008.0,3289.6,34.3
J11,1,7439.7,16147.2,8284.1,38.1
J11,2,6836.9,13032.1,8762.0,35.7
J11,3,5604.9,14934.2,9109.0,32.5
J12,1,6219.2,17302.0,9554.9,35.7
J12,2,7329.1,17182.0,8356.9,40.4
J12,3,7009.3,16528.8,7556.5,38.6
BC1,,7260.7,16357.0,3050.4,39.9
BC2,,5885.6,14264.5,2265.4,33.2
BC3,,7505.3,16167.7,3268.6,40.0
BC4,,6279.9,10341.0,2980.9,41.8
BC5,,6624.3,9675.4,2460.5,35.0
BC6,,6503.5,13043.0,3262.2,39.6
